id;nome_alimento;preparo;kcal;proteina;lipidios;carboidratos;fibra
302;Beterraba branca (acelga) ;Cozido(a);14;1.5;0.17;2.41;1.7
303;Almeirão;Cru(a);17;1.25;0.2;3.35;3.1
304;Almeirão;Cozido(a);22;1.61;0.26;4.31;3.99
305;Almeirão;Refogado(a);52.88;1.61;3.75;4.31;3.99
306;Almeirão;Ao vinagrete;22;1.61;0.26;4.31;3.99
307;Radite;Cru(a);17;1.25;0.2;3.35;3.1
308;Radite;Refogado(a);52.88;1.61;3.75;4.31;3.99
309;Radite;Ao vinagrete;22;1.61;0.26;4.31;3.99
310;Brócolis;Cru(a);34;2.82;0.37;6.64;2.6
311;Brócolis;Cozido(a);35;2.38;0.41;7.18;3.3
312;Brócolis;Empanado(a)/à milanesa;181.23;4.18;11.48;15.43;2.06
313;Brócolis;Refogado(a);60.74;2.38;3.32;7.18;3.3
314;Brócolis;Ao alho e óleo;60.74;2.38;3.32;7.18;3.3
315;Brócolis;Ao vinagrete;35;2.38;0.41;7.18;3.3
316;Brócolis;Não se aplica;35;2.38;0.41;7.18;3.3
317;Serralha;Cru(a);23;2.97;0.26;3.75;2.4
318;Serralha;Cozido(a);23;2.97;0.26;3.75;2.4
319;Serralha;Refogado(a);45.3;2.97;2.78;3.75;2.4
320;Caruru;Cozido(a);26;2.11;0.36;4.91;2.8
321;Cuxá;Não se aplica;26;2.11;0.36;4.91;2.8
322;Vinagreira ;Não se aplica;26;2.11;0.36;4.91;2.8
323;Cariru;Não se aplica;26;2.11;0.36;4.91;2.8
324;Rúcula;Não se aplica;25;2.58;0.66;3.65;1.6
325;Jambu;Não se aplica;32;1.9;0.3;7.2;1.3
326;Língua de vaca (verdura);Cru(a);30;2.45;0.42;5.69;3.6
327;Alcachofra;Não se aplica;53;2.89;0.34;11.95;8.6
328;Bredo;Não se aplica;26;2.11;0.36;4.91;2.8
329;Salsão (aipo);Refogado(a);18;0.83;0.16;4;1.6
330;Ervadoce;Não se aplica;31;1.24;0.2;7.29;3.1
331;Folha de aipim;Cru(a);30;2.45;0.42;5.69;3.6
332;Folha de macaxeira;Cozido(a);26;2.11;0.36;4.91;2.8
333;Broto de feijão;Cru(a);30;3.04;0.18;5.94;1.8
334;Broto de feijão;Cozido(a);53.38;2.03;3.75;4.19;0.8
